기간	구분	구분	전체	남자	여자
2011	용산구	용산구	22.3	41.8	4.3
2011	성동구	성동구	23.9	43.9	4.1
2011	광진구	광진구	22.9	43.8	2.7
2011	동대문구	동대문구	24.5	41.6	7.4
2011	중랑구	중랑구	24	43.2	4.9
2011	성북구	성북구	24.6	48.3	2.1
2011	강북구	강북구	24.8	44.4	5.8
2011	도봉구	도봉구	21.8	41.5	3
2011	노원구	노원구	23.9	46.1	3.3
2011	은평구	은평구	24.9	46.5	4.4
2011	서대문구	서대문구	20.8	40.7	2.2
2011	마포구	마포구	21.9	40.9	4.4
2011	양천구	양천구	20	39.3	1.5
2011	강서구	강서구	21	40.8	2.3
2011	구로구	구로구	23.5	44	3
2011	금천구	금천구	23.9	43.8	3
2011	영등포구	영등포구	21.3	40	2.6
2011	동작구	동작구	20.6	40	F
2011	관악구	관악구	22.6	40.8	4
2011	서초구	서초구	16.5	32.9	1.7
2011	강남구	강남구	21.4	39.2	5.7
2011	송파구	송파구	20.8	39.4	3.3
2011	강동구	강동구	21.9	40.2	3.9
2012	서울시	서울시	22.2	41.6	3.7
2012	생애주기별	19~29세	22.6	39.7	5.3
2012	생애주기별	30~44세	28.9	52.8	4.4
2012	생애주기별	45~64세	20.1	38.7	2.7
2012	생애주기별	65세 이상	10.7	21.2	2.4
2012	교육수준별Ⅰ(30~64세)	중졸이하	18.9	43.3	3.7
2012	교육수준별Ⅰ(30~64세)	고졸	27.1	54.1	4.4
2012	교육수준별Ⅰ(30~64세)	대졸이상	24	41.5	2.7
2012	교육수준별Ⅱ(65세 이상)	초졸이하	7.7	20.8	…
2012	교육수준별Ⅱ(65세 이상)	중졸	13.7	25.7	…
2012	교육수준별Ⅱ(65세 이상)	고졸이상	13.3	20	…
2012	직업별(30~64세)	육체직	35.3	49.5	4.3
2012	직업별(30~64세)	서비스ㆍ판매직	28.5	51.4	5.5
2012	직업별(30~64세)	사무직	28.1	42.4	3.3
2012	종로구	종로구	22.7	40.7	5.2
2012	중구	중구	26.2	47.4	4.9
2012	용산구	용산구	23	41.8	5.6
2012	성동구	성동구	22.5	41.2	3.9
2012	광진구	광진구	23.5	44.5	3.3
2012	동대문구	동대문구	24.3	45.5	3
2012	중랑구	중랑구	21.7	41	2.5
2012	성북구	성북구	24.1	45.3	3.8
2012	강북구	강북구	26.1	48.3	4.8
2012	도봉구	도봉구	25	46.9	4.2
2012	노원구	노원구	18.9	36.9	2.3
2012	은평구	은평구	22.3	39.8	5.8
2012	서대문구	서대문구	24.2	45.3	4.5
2012	마포구	마포구	22.1	40.7	4.9
2012	양천구	양천구	21.2	39.2	3.9
2012	강서구	강서구	21.2	40.6	2.8
2012	구로구	구로구	23	42.5	3.7
2012	금천구	금천구	25.3	45.6	4
2012	영등포구	영등포구	18.4	34.7	2.2
2012	동작구	동작구	20.9	39.8	2.9
2012	관악구	관악구	24.4	44.3	4.1
2012	서초구	서초구	17.8	35.1	2.1
2012	강남구	강남구	19.8	36.6	5.1
2012	송파구	송파구	21.6	42.7	1.8
2012	강동구	강동구	23.1	42.2	4.3
2013	서울시	서울시	21.7	40.6	3.7
2013	생애주기별	19~29세	20.7	36	5.3
2013	생애주기별	30~44세	28.2	51.5	4.2
2013	생애주기별	45~64세	20.7	40.5	2.8
2013	생애주기별	65세 이상	10.5	19.6	2.6
2013	교육수준별Ⅰ(30~64세)	중졸이하	21.1	47.4	3.8
2013	교육수준별Ⅰ(30~64세)	고졸	27.4	55.3	4.9
2013	교육수준별Ⅰ(30~64세)	대졸이상	23.1	40.9	2.2
2013	교육수준별Ⅱ(65세 이상)	초졸이하	8.3	23.3	…
2013	교육수준별Ⅱ(65세 이상)	중졸	10.6	19.3	…
2013	교육수준별Ⅱ(65세 이상)	고졸이상	12.9	18	…
2013	직업별(30~64세)	육체직	35.8	51.1	2.8
2013	직업별(30~64세)	서비스ㆍ판매직	30.7	53.4	7
2013	직업별(30~64세)	사무직	26.3	40.7	3
2013	종로구	종로구	21.5	40.6	3
2013	중구	중구	24.1	42.8	5.4
2013	용산구	용산구	21	38.7	4.5
2013	성동구	성동구	22	39.9	4.4
2013	광진구	광진구	20.4	39.3	2.4
2013	동대문구	동대문구	23.1	42.6	3.6
2013	중랑구	중랑구	23.6	42.8	4.7
2013	성북구	성북구	24.3	46	3.6
2013	강북구	강북구	23.4	44.3	3.5
2013	도봉구	도봉구	21.3	40.8	2.6
2013	노원구	노원구	20.8	40.7	F
2013	은평구	은평구	22.3	41.8	3.9
2013	서대문구	서대문구	22.5	42.5	4
2013	마포구	마포구	21.7	39.5	5.3
2013	양천구	양천구	21	41.5	F
2013	강서구	강서구	21.6	41.7	2.7
2013	구로구	구로구	19.7	37.3	2.2
2013	금천구	금천구	24.7	43.7	4.8
2013	영등포구	영등포구	21.5	40.5	2.6
2013	동작구	동작구	20.8	40.7	F
2013	관악구	관악구	22.9	40	5.4
2013	서초구	서초구	18.7	36.5	2.5
2013	강남구	강남구	21.7	37.4	7.8
2013	송파구	송파구	18.8	35.2	3.4
2013	강동구	강동구	23	42.3	4.3
2014	서울시	서울시	20.6	38.5	3.4
2014	생애주기별	19~29세	20.3	36	4.5
2014	생애주기별	30~44세	25.3	46.5	3.4
2014	생애주기별	45~64세	20.9	39.8	3.4
2014	생애주기별	65세 이상	10.2	19.8	2.3
2014	교육수준별Ⅰ(30~64세)	중졸이하	20.9	46.1	5
2014	교육수준별Ⅰ(30~64세)	고졸	26.8	52.8	4.9
2014	교육수준별Ⅰ(30~64세)	대졸이상	21.1	37.6	1.9
2014	교육수준별Ⅱ(65세 이상)	초졸이하	8.1	22.2	-
2014	교육수준별Ⅱ(65세 이상)	중졸	11.6	22.9	-
2014	교육수준별Ⅱ(65세 이상)	고졸이상	12	18	-
2014	직업별(30~64세)	육체직	37.2	50.7	5
2014	직업별(30~64세)	서비스ㆍ판매직	27.3	49.6	6
2014	직업별(30~64세)	사무직	23.5	37	2.3
2014	종로구	종로구	22.5	40.9	4.7
2014	중구	중구	22	39.4	4.6
2014	용산구	용산구	21.3	39.8	4.3
2014	성동구	성동구	24.4	44.7	4.5
2014	광진구	광진구	18.1	34.6	2.1
2014	동대문구	동대문구	21.5	39.8	3.2
2014	중랑구	중랑구	23.8	43.4	4.3
2014	성북구	성북구	23.2	42.6	4.8
2014	강북구	강북구	25.6	47.6	4.6
2014	도봉구	도봉구	21.8	41.7	2.9
2014	노원구	노원구	18.9	36.7	2.4
2014	은평구	은평구	20.6	38.4	4
2014	서대문구	서대문구	20.5	38.1	3.9
2014	마포구	마포구	21.4	39.8	4.6
2014	양천구	양천구	18.2	36	F
2014	강서구	강서구	21.5	40.9	3.4
2014	구로구	구로구	21.1	39	3.3
2014	금천구	금천구	23.7	43.5	3.1
2014	영등포구	영등포구	22.9	42.3	3.6
2014	동작구	동작구	19.7	37.3	3
2014	관악구	관악구	20.1	35.8	4.1
2014	서초구	서초구	14.7	29	F
2014	강남구	강남구	17	32	3.8
2014	송파구	송파구	19.9	38	3
2014	강동구	강동구	18.5	33.8	3.5
2015	서울시	서울시	19.4	36.2	3.4
2015	생애주기별	19~29세	19.5	33.3	5.5
2015	생애주기별	30~44세	24.8	44.7	4.4
2015	생애주기별	45~64세	19.4	38	2.4
2015	생애주기별	65세 이상	8.5	16.9	1.5
2015	교육수준별Ⅰ(30~64세)	중졸이하	20.2	47	3.8
2015	교육수준별Ⅰ(30~64세)	고졸	26.1	50.5	5.2
2015	교육수준별Ⅰ(30~64세)	대졸이상	19.9	36	1.9
2015	교육수준별Ⅱ(65세 이상)	초졸이하	5.5	15.8	-
2015	교육수준별Ⅱ(65세 이상)	중졸	9	16.6	-
2015	교육수준별Ⅱ(65세 이상)	고졸이상	11.3	17.4	-
2015	직업별(30~64세)	육체직	34.8	48	3.9
2015	직업별(30~64세)	서비스ㆍ판매직	27.3	47.8	6.6
2015	직업별(30~64세)	사무직	22.3	35.4	2.9
2015	종로구	종로구	21.2	38.2	4.7
2015	중구	중구	23.5	42.1	5.1
2015	용산구	용산구	21.5	39.2	5.2
2015	성동구	성동구	18.8	35.8	F
2015	광진구	광진구	18.5	35.3	2.4
2015	동대문구	동대문구	18.8	35.8	1.9
2015	중랑구	중랑구	21.7	39.9	3.8
2015	성북구	성북구	20.2	38.7	2.6
2015	강북구	강북구	22	40.4	4.3
2015	도봉구	도봉구	16.3	31.7	F
2015	노원구	노원구	18.4	35.4	2.6
2015	은평구	은평구	19.4	36.1	3.7
2015	서대문구	서대문구	21.1	40.1	F
2015	마포구	마포구	21.3	39.1	5.3
2015	양천구	양천구	17	33	F
2015	강서구	강서구	20.1	38.6	2.8
2015	구로구	구로구	18.8	35.3	2.5
2015	금천구	금천구	22.8	39.8	5.4
2015	영등포구	영등포구	19.3	36.6	2.4
2015	동작구	동작구	17.6	34	2.1
2015	관악구	관악구	23.7	41.5	5.6
2015	서초구	서초구	16.5	32.4	2.3
2015	강남구	강남구	18.2	33.1	4.9
2015	송파구	송파구	16.6	29.2	4.7
2015	강동구	강동구	19.5	36	3.3
2016	서울시	서울시	19.5	36.6	3.4
2016	생애주기별	19~29세	18.7	32.6	4.9
2016	생애주기별	30~44세	24.4	44.4	4.1
2016	생애주기별	45~64세	20.3	39.2	2.9
2016	생애주기별	65세 이상	9.4	18.7	1.8
2016	교육수준별Ⅰ(30~64세)	중졸이하	20	45.5	4.8
2016	교육수준별Ⅰ(30~64세)	고졸	25.7	51.3	4.8
2016	교육수준별Ⅰ(30~64세)	대졸이상	20.6	36.5	2.1
2016	교육수준별Ⅱ(65세 이상)	초졸이하	7.3	22.2	1.9
2016	교육수준별Ⅱ(65세 이상)	중졸	9.4	16.8	2.4
2016	교육수준별Ⅱ(65세 이상)	고졸이상	11.5	17.8	F
2016	직업별(30~64세)	육체직	34.2	47.7	3.5
2016	직업별(30~64세)	서비스ㆍ판매직	27.6	50	7.3
2016	직업별(30~64세)	사무직	23.3	36.2	2.7
2016	종로구	종로구	20.4	37.9	3.5
2016	중구	중구	22.2	41.4	3.4
2016	용산구	용산구	19.5	37.5	2.9
2016	성동구	성동구	20.5	38.6	2.9
2016	광진구	광진구	19.4	34.6	5
2016	동대문구	동대문구	20.9	38	3.8
2016	중랑구	중랑구	22	41.1	3.1
2016	성북구	성북구	22.1	42.5	2.9
2016	강북구	강북구	20.8	37.8	4.5
2016	도봉구	도봉구	21.5	38.8	5
2016	노원구	노원구	18.7	33.7	4.8
2016	은평구	은평구	20.7	37.5	5
2016	서대문구	서대문구	18.7	35.2	3.3
2016	마포구	마포구	18.9	35.2	4.1
2016	양천구	양천구	17.9	34.9	1.7
2016	강서구	강서구	18.9	37	2.1
2016	구로구	구로구	22.1	39.9	4.7
2016	금천구	금천구	24.3	44.5	3.4
2016	영등포구	영등포구	17.1	32.1	2.3
2016	동작구	동작구	18.3	34.6	F
2016	관악구	관악구	22.2	41	3
2016	서초구	서초구	17.6	33.7	3.1
2016	강남구	강남구	16	30.1	3.6
2016	송파구	송파구	16.9	32.8	F
2016	강동구	강동구	18.3	33.9	3.1
2017	서울시	서울시	18.8	35.1	3.3
2017	생애주기별	19~29세	19.6	33.6	5.7
2017	생애주기별	30~44세	23.6	43.1	3.9
2017	생애주기별	45~64세	19.2	37.3	2.5
2017	생애주기별	65세 이상	8.4	16.7	1.5
2017	교육수준별Ⅰ(30~64세)	중졸이하	20.4	47.7	2.9
2017	교육수준별Ⅰ(30~64세)	고졸	25.3	49.1	5.8
2017	교육수준별Ⅰ(30~64세)	대졸이상	19.1	34.9	1.6
2017	교육수준별Ⅱ(65세 이상)	초졸이하	6.9	19.1	-
2017	교육수준별Ⅱ(65세 이상)	중졸	9.6	19.4	-
2017	교육수준별Ⅱ(65세 이상)	고졸이상	9.3	14.7	-
2017	직업별(30~64세)	육체직	34.7	49	2.5
2017	직업별(30~64세)	서비스ㆍ판매직	25.5	46.9	5.8
2017	직업별(30~64세)	사무직	21.4	34.2	2.6
2017	종로구	종로구	16.5	31.1	2.5
2017	중구	중구	19.1	35.6	3.1
2017	용산구	용산구	19.7	36.6	4.2
2017	성동구	성동구	19.2	36	2.9
2017	광진구	광진구	18	33.4	3.5
2017	동대문구	동대문구	22.4	39.6	5.3
2017	중랑구	중랑구	23	42.2	4.2
2017	성북구	성북구	18.5	34.4	3.7
2017	강북구	강북구	22.9	41.5	5.2
2017	도봉구	도봉구	21.2	38.7	4.6
2017	노원구	노원구	17.2	32.7	3
2017	은평구	은평구	20.8	37.4	5.5
2017	서대문구	서대문구	20.7	39.3	3.5
2017	마포구	마포구	16.5	30.5	3.9
2017	양천구	양천구	19.2	35.3	3.9
2017	강서구	강서구	20.7	38.8	3.8
2017	구로구	구로구	17.2	33.8	F
2017	금천구	금천구	20.1	37.1	2.4
2017	영등포구	영등포구	16.3	30.9	F
2017	동작구	동작구	16.8	32.2	F
2017	관악구	관악구	20.3	37.3	3
2017	서초구	서초구	14.5	28.3	F
2017	강남구	강남구	16.1	31.1	2.8
2017	송파구	송파구	17.2	34.4	F
2017	강동구	강동구	17.4	31.2	4.1
2018	서울시	서울시	18.6	34.4	3.6
2018	생애주기별	19~29세	18.9	31.4	6.6
2018	생애주기별	30~44세	22.8	41.5	3.7
2018	생애주기별	45~64세	19.7	37.9	3
2018	생애주기별	65세 이상	9.1	18.1	1.7
2018	교육수준별Ⅰ(30~64세)	중졸이하	21.5	46.5	5.2
2018	교육수준별Ⅰ(30~64세)	고졸	24.1	48.2	4.7
2018	교육수준별Ⅰ(30~64세)	대졸이상	19.5	35.1	2.2
2018	교육수준별Ⅱ(65세 이상)	초졸이하	6.5	19.1	1.8
2018	교육수준별Ⅱ(65세 이상)	중졸	11.5	21.9	1.6
2018	교육수준별Ⅱ(65세 이상)	고졸이상	10.4	16.2	1.4
2018	직업별(30~64세)	육체직	33.2	46.5	5.4
2018	직업별(30~64세)	서비스ㆍ판매직	25.1	47.2	6.1
2018	직업별(30~64세)	사무직	21.6	34.5	2.4
2018	종로구	종로구	18.6	33.4	4.6
2018	중구	중구	23	42.4	4.1
2018	용산구	용산구	17.7	33.7	3.1
2018	성동구	성동구	19.5	35.2	4.3
2018	광진구	광진구	21.2	38	5.6
2018	동대문구	동대문구	17.8	32.2	3.5
2018	중랑구	중랑구	21.5	37.6	5.6
2018	성북구	성북구	19.2	35.3	4.2
2018	강북구	강북구	23.5	43.4	4.7
2018	도봉구	도봉구	19.5	35.7	4.1
2018	노원구	노원구	17.6	34	2.6
2018	은평구	은평구	21.5	39	5.3
2018	서대문구	서대문구	18.9	36.1	3.1
2018	마포구	마포구	16.8	30.9	4.3
2018	양천구	양천구	16.1	30.6	2.3
2018	강서구	강서구	18.9	35.3	3.6
2018	구로구	구로구	17.9	33.1	3
2018	금천구	금천구	22.9	40.3	4.9
2018	영등포구	영등포구	15.7	29.5	F
2018	동작구	동작구	17.3	30.3	5.1
2018	관악구	관악구	22.6	41.2	4
2018	서초구	서초구	15	29.4	2.1
2018	강남구	강남구	18	33.3	4.4
2018	송파구	송파구	14.9	30.1	F
2018	강동구	강동구	15.6	29.8	F
2019	서울시	서울시	17.1	31.5	3.7
2019	생애주기별	19~29세	17.9	29.3	7
2019	생애주기별	30~44세	19.5	35.2	3.6
2019	생애주기별	45~64세	19.3	36.8	3.2
2019	생애주기별	65세 이상	8.7	17.2	1.6
2019	교육수준별Ⅰ(30~64세)	중졸이하	21.3	45.6	6.4
2019	교육수준별Ⅰ(30~64세)	고졸	24.2	46.7	5.1
2019	교육수준별Ⅰ(30~64세)	대졸이상	16.7	30.3	1.9
2019	교육수준별Ⅱ(65세 이상)	초졸이하	6.6	19	1.7
2019	교육수준별Ⅱ(65세 이상)	중졸	10.6	19.2	2.2
2019	교육수준별Ⅱ(65세 이상)	고졸이상	9.8	15.7	1
2019	직업별(30~64세)	육체직	34.2	46.5	4.3
2019	직업별(30~64세)	서비스ㆍ판매직	24.6	44	6.4
2019	직업별(30~64세)	사무직	18.4	29.9	2.3
2019	종로구	종로구	18.5	33.5	4.4
2019	중구	중구	17.7	31.8	4.1
2019	용산구	용산구	15.1	28.2	3.1
2019	성동구	성동구	19.8	36.1	4.3
2019	광진구	광진구	21.7	38.5	6.2
2019	동대문구	동대문구	17.9	31.5	4.5
2019	중랑구	중랑구	20.1	36.7	3.9
2019	성북구	성북구	17.6	33.3	3
2019	강북구	강북구	20.1	36.6	4.6
2019	도봉구	도봉구	15.7	26.8	5.3
2019	노원구	노원구	19.7	36.5	4.3
2019	은평구	은평구	15.5	27	5.1
2019	서대문구	서대문구	17.2	32.5	3.3
2019	마포구	마포구	16.7	31.9	3.3
2019	양천구	양천구	15.8	30.8	1.6
2019	강서구	강서구	17.4	31.1	4.8
2019	구로구	구로구	16.3	30.6	2.5
2019	금천구	금천구	19	34.9	2.6
2019	영등포구	영등포구	16.3	30.6	2.5
2019	동작구	동작구	15.9	29.2	3.5
2019	관악구	관악구	18	30.3	5.6
2019	서초구	서초구	12.6	25.1	1.5
2019	강남구	강남구	14.7	26.6	4.2
2019	송파구	송파구	14.9	28.8	F
2019	강동구	강동구	18.5	34.8	2.9
